�	NULL (U+0000)	00
ꧫ	MYANMAR LETTER TAI LAING JA (U+A9EB)	eaa7ab
ꧬ	MYANMAR LETTER TAI LAING JHA (U+A9EC)	eaa7ac
ꧭ	MYANMAR LETTER TAI LAING DDA (U+A9ED)	eaa7ad
ꧮ	MYANMAR LETTER TAI LAING DDHA (U+A9EE)	eaa7ae
ꧯ	MYANMAR LETTER TAI LAING NNA (U+A9EF)	eaa7af
꧰	MYANMAR TAI LAING DIGIT ZERO (U+A9F0)	eaa7b0
꧱	MYANMAR TAI LAING DIGIT ONE (U+A9F1)	eaa7b1
꧲	MYANMAR TAI LAING DIGIT TWO (U+A9F2)	eaa7b2
꧳	MYANMAR TAI LAING DIGIT THREE (U+A9F3)	eaa7b3
꧴	MYANMAR TAI LAING DIGIT FOUR (U+A9F4)	eaa7b4
꧵	MYANMAR TAI LAING DIGIT FIVE (U+A9F5)	eaa7b5
꧶	MYANMAR TAI LAING DIGIT SIX (U+A9F6)	eaa7b6
꧷	MYANMAR TAI LAING DIGIT SEVEN (U+A9F7)	eaa7b7
꧸	MYANMAR TAI LAING DIGIT EIGHT (U+A9F8)	eaa7b8
꧹	MYANMAR TAI LAING DIGIT NINE (U+A9F9)	eaa7b9
ꧺ	MYANMAR LETTER TAI LAING LLA (U+A9FA)	eaa7ba
ꧻ	MYANMAR LETTER TAI LAING DA (U+A9FB)	eaa7bb
ꧼ	MYANMAR LETTER TAI LAING DHA (U+A9FC)	eaa7bc
ꧽ	MYANMAR LETTER TAI LAING BA (U+A9FD)	eaa7bd
ꧾ	MYANMAR LETTER TAI LAING BHA (U+A9FE)	eaa7be
ꨀ	CHAM LETTER A (U+AA00)	eaa880
ꨁ	CHAM LETTER I (U+AA01)	eaa881
ꨂ	CHAM LETTER U (U+AA02)	eaa882
ꨃ	CHAM LETTER E (U+AA03)	eaa883
ꨄ	CHAM LETTER AI (U+AA04)	eaa884
ꨅ	CHAM LETTER O (U+AA05)	eaa885
ꨆ	CHAM LETTER KA (U+AA06)	eaa886
ꨇ	CHAM LETTER KHA (U+AA07)	eaa887
ꨈ	CHAM LETTER GA (U+AA08)	eaa888
ꨉ	CHAM LETTER GHA (U+AA09)	eaa889
ꨊ	CHAM LETTER NGUE (U+AA0A)	eaa88a
ꨋ	CHAM LETTER NGA (U+AA0B)	eaa88b
ꨌ	CHAM LETTER CHA (U+AA0C)	eaa88c
ꨍ	CHAM LETTER CHHA (U+AA0D)	eaa88d
ꨎ	CHAM LETTER JA (U+AA0E)	eaa88e
ꨏ	CHAM LETTER JHA (U+AA0F)	eaa88f
ꨐ	CHAM LETTER NHUE (U+AA10)	eaa890
ꨑ	CHAM LETTER NHA (U+AA11)	eaa891
ꨒ	CHAM LETTER NHJA (U+AA12)	eaa892
ꨓ	CHAM LETTER TA (U+AA13)	eaa893
ꨔ	CHAM LETTER THA (U+AA14)	eaa894
ꨕ	CHAM LETTER DA (U+AA15)	eaa895
ꨖ	CHAM LETTER DHA (U+AA16)	eaa896
ꨗ	CHAM LETTER NUE (U+AA17)	eaa897
ꨘ	CHAM LETTER NA (U+AA18)	eaa898
ꨙ	CHAM LETTER DDA (U+AA19)	eaa899
ꨚ	CHAM LETTER PA (U+AA1A)	eaa89a
ꨛ	CHAM LETTER PPA (U+AA1B)	eaa89b
ꨜ	CHAM LETTER PHA (U+AA1C)	eaa89c
ꨝ	CHAM LETTER BA (U+AA1D)	eaa89d
ꨞ	CHAM LETTER BHA (U+AA1E)	eaa89e
ꨟ	CHAM LETTER MUE (U+AA1F)	eaa89f
ꨠ	CHAM LETTER MA (U+AA20)	eaa8a0
ꨡ	CHAM LETTER BBA (U+AA21)	eaa8a1
ꨢ	CHAM LETTER YA (U+AA22)	eaa8a2
ꨣ	CHAM LETTER RA (U+AA23)	eaa8a3
ꨤ	CHAM LETTER LA (U+AA24)	eaa8a4
ꨥ	CHAM LETTER VA (U+AA25)	eaa8a5
ꨦ	CHAM LETTER SSA (U+AA26)	eaa8a6
ꨧ	CHAM LETTER SA (U+AA27)	eaa8a7
ꨨ	CHAM LETTER HA (U+AA28)	eaa8a8
ꨩ	CHAM VOWEL SIGN AA (U+AA29)	eaa8a9
ꨪ	CHAM VOWEL SIGN I (U+AA2A)	eaa8aa
ꨫ	CHAM VOWEL SIGN II (U+AA2B)	eaa8ab
ꨬ	CHAM VOWEL SIGN EI (U+AA2C)	eaa8ac
ꨭ	CHAM VOWEL SIGN U (U+AA2D)	eaa8ad
ꨮ	CHAM VOWEL SIGN OE (U+AA2E)	eaa8ae
ꨯ	CHAM VOWEL SIGN O (U+AA2F)	eaa8af
ꨰ	CHAM VOWEL SIGN AI (U+AA30)	eaa8b0
ꨱ	CHAM VOWEL SIGN AU (U+AA31)	eaa8b1
ꨲ	CHAM VOWEL SIGN UE (U+AA32)	eaa8b2
ꨳ	CHAM CONSONANT SIGN YA (U+AA33)	eaa8b3
ꨴ	CHAM CONSONANT SIGN RA (U+AA34)	eaa8b4
ꨵ	CHAM CONSONANT SIGN LA (U+AA35)	eaa8b5
ꨶ	CHAM CONSONANT SIGN WA (U+AA36)	eaa8b6
ꩀ	CHAM LETTER FINAL K (U+AA40)	eaa980
ꩁ	CHAM LETTER FINAL G (U+AA41)	eaa981
ꩂ	CHAM LETTER FINAL NG (U+AA42)	eaa982
ꩃ	CHAM CONSONANT SIGN FINAL NG (U+AA43)	eaa983
ꩄ	CHAM LETTER FINAL CH (U+AA44)	eaa984
ꩅ	CHAM LETTER FINAL T (U+AA45)	eaa985
ꩆ	CHAM LETTER FINAL N (U+AA46)	eaa986
ꩇ	CHAM LETTER FINAL P (U+AA47)	eaa987
ꩈ	CHAM LETTER FINAL Y (U+AA48)	eaa988
ꩉ	CHAM LETTER FINAL R (U+AA49)	eaa989
ꩊ	CHAM LETTER FINAL L (U+AA4A)	eaa98a
ꩋ	CHAM LETTER FINAL SS (U+AA4B)	eaa98b
ꩌ	CHAM CONSONANT SIGN FINAL M (U+AA4C)	eaa98c
ꩍ	CHAM CONSONANT SIGN FINAL H (U+AA4D)	eaa98d
꩐	CHAM DIGIT ZERO (U+AA50)	eaa990
꩑	CHAM DIGIT ONE (U+AA51)	eaa991
꩒	CHAM DIGIT TWO (U+AA52)	eaa992
꩓	CHAM DIGIT THREE (U+AA53)	eaa993
꩔	CHAM DIGIT FOUR (U+AA54)	eaa994
꩕	CHAM DIGIT FIVE (U+AA55)	eaa995
꩖	CHAM DIGIT SIX (U+AA56)	eaa996
꩗	CHAM DIGIT SEVEN (U+AA57)	eaa997
꩘	CHAM DIGIT EIGHT (U+AA58)	eaa998
꩙	CHAM DIGIT NINE (U+AA59)	eaa999
꩜	CHAM PUNCTUATION SPIRAL (U+AA5C)	eaa99c
꩝	CHAM PUNCTUATION DANDA (U+AA5D)	eaa99d
꩞	CHAM PUNCTUATION DOUBLE DANDA (U+AA5E)	eaa99e
꩟	CHAM PUNCTUATION TRIPLE DANDA (U+AA5F)	eaa99f
ꩠ	MYANMAR LETTER KHAMTI GA (U+AA60)	eaa9a0
ꩡ	MYANMAR LETTER KHAMTI CA (U+AA61)	eaa9a1
ꩢ	MYANMAR LETTER KHAMTI CHA (U+AA62)	eaa9a2
ꩣ	MYANMAR LETTER KHAMTI JA (U+AA63)	eaa9a3
ꩤ	MYANMAR LETTER KHAMTI JHA (U+AA64)	eaa9a4
ꩥ	MYANMAR LETTER KHAMTI NYA (U+AA65)	eaa9a5
ꩦ	MYANMAR LETTER KHAMTI TTA (U+AA66)	eaa9a6
ꩧ	MYANMAR LETTER KHAMTI TTHA (U+AA67)	eaa9a7
ꩨ	MYANMAR LETTER KHAMTI DDA (U+AA68)	eaa9a8
ꩩ	MYANMAR LETTER KHAMTI DDHA (U+AA69)	eaa9a9
ꩪ	MYANMAR LETTER KHAMTI DHA (U+AA6A)	eaa9aa
ꩫ	MYANMAR LETTER KHAMTI NA (U+AA6B)	eaa9ab
ꩬ	MYANMAR LETTER KHAMTI SA (U+AA6C)	eaa9ac
ꩭ	MYANMAR LETTER KHAMTI HA (U+AA6D)	eaa9ad
ꩮ	MYANMAR LETTER KHAMTI HHA (U+AA6E)	eaa9ae
ꩯ	MYANMAR LETTER KHAMTI FA (U+AA6F)	eaa9af
ꩰ	MYANMAR MODIFIER LETTER KHAMTI REDUPLICATION (U+AA70)	eaa9b0
ꩱ	MYANMAR LETTER KHAMTI XA (U+AA71)	eaa9b1
ꩲ	MYANMAR LETTER KHAMTI ZA (U+AA72)	eaa9b2
ꩳ	MYANMAR LETTER KHAMTI RA (U+AA73)	eaa9b3
ꩴ	MYANMAR LOGOGRAM KHAMTI OAY (U+AA74)	eaa9b4
ꩵ	MYANMAR LOGOGRAM KHAMTI QN (U+AA75)	eaa9b5
ꩶ	MYANMAR LOGOGRAM KHAMTI HM (U+AA76)	eaa9b6
꩷	MYANMAR SYMBOL AITON EXCLAMATION (U+AA77)	eaa9b7
꩸	MYANMAR SYMBOL AITON ONE (U+AA78)	eaa9b8
꩹	MYANMAR SYMBOL AITON TWO (U+AA79)	eaa9b9
ꩺ	MYANMAR LETTER AITON RA (U+AA7A)	eaa9ba
ꩻ	MYANMAR SIGN PAO KAREN TONE (U+AA7B)	eaa9bb
ꩼ	MYANMAR SIGN TAI LAING TONE-2 (U+AA7C)	eaa9bc
ꩽ	MYANMAR SIGN TAI LAING TONE-5 (U+AA7D)	eaa9bd
ꩾ	MYANMAR LETTER SHWE PALAUNG CHA (U+AA7E)	eaa9be
ꩿ	MYANMAR LETTER SHWE PALAUNG SHA (U+AA7F)	eaa9bf
ꪀ	TAI VIET LETTER LOW KO (U+AA80)	eaaa80
ꪁ	TAI VIET LETTER HIGH KO (U+AA81)	eaaa81
ꪂ	TAI VIET LETTER LOW KHO (U+AA82)	eaaa82
ꪃ	TAI VIET LETTER HIGH KHO (U+AA83)	eaaa83
ꪄ	TAI VIET LETTER LOW KHHO (U+AA84)	eaaa84
ꪅ	TAI VIET LETTER HIGH KHHO (U+AA85)	eaaa85
ꪆ	TAI VIET LETTER LOW GO (U+AA86)	eaaa86
ꪇ	TAI VIET LETTER HIGH GO (U+AA87)	eaaa87
ꪈ	TAI VIET LETTER LOW NGO (U+AA88)	eaaa88
ꪉ	TAI VIET LETTER HIGH NGO (U+AA89)	eaaa89
ꪊ	TAI VIET LETTER LOW CO (U+AA8A)	eaaa8a
ꪋ	TAI VIET LETTER HIGH CO (U+AA8B)	eaaa8b
ꪌ	TAI VIET LETTER LOW CHO (U+AA8C)	eaaa8c
ꪍ	TAI VIET LETTER HIGH CHO (U+AA8D)	eaaa8d
ꪎ	TAI VIET LETTER LOW SO (U+AA8E)	eaaa8e
ꪏ	TAI VIET LETTER HIGH SO (U+AA8F)	eaaa8f
ꪐ	TAI VIET LETTER LOW NYO (U+AA90)	eaaa90
ꪑ	TAI VIET LETTER HIGH NYO (U+AA91)	eaaa91
ꪒ	TAI VIET LETTER LOW DO (U+AA92)	eaaa92
ꪓ	TAI VIET LETTER HIGH DO (U+AA93)	eaaa93
ꪔ	TAI VIET LETTER LOW TO (U+AA94)	eaaa94
ꪕ	TAI VIET LETTER HIGH TO (U+AA95)	eaaa95
ꪖ	TAI VIET LETTER LOW THO (U+AA96)	eaaa96
ꪗ	TAI VIET LETTER HIGH THO (U+AA97)	eaaa97
ꪘ	TAI VIET LETTER LOW NO (U+AA98)	eaaa98
ꪙ	TAI VIET LETTER HIGH NO (U+AA99)	eaaa99
ꪚ	TAI VIET LETTER LOW BO (U+AA9A)	eaaa9a
ꪛ	TAI VIET LETTER HIGH BO (U+AA9B)	eaaa9b
ꪜ	TAI VIET LETTER LOW PO (U+AA9C)	eaaa9c
ꪝ	TAI VIET LETTER HIGH PO (U+AA9D)	eaaa9d
ꪞ	TAI VIET LETTER LOW PHO (U+AA9E)	eaaa9e
ꪟ	TAI VIET LETTER HIGH PHO (U+AA9F)	eaaa9f
ꪠ	TAI VIET LETTER LOW FO (U+AAA0)	eaaaa0
ꪡ	TAI VIET LETTER HIGH FO (U+AAA1)	eaaaa1
ꪢ	TAI VIET LETTER LOW MO (U+AAA2)	eaaaa2
ꪣ	TAI VIET LETTER HIGH MO (U+AAA3)	eaaaa3
ꪤ	TAI VIET LETTER LOW YO (U+AAA4)	eaaaa4
ꪥ	TAI VIET LETTER HIGH YO (U+AAA5)	eaaaa5
ꪦ	TAI VIET LETTER LOW RO (U+AAA6)	eaaaa6
ꪧ	TAI VIET LETTER HIGH RO (U+AAA7)	eaaaa7
ꪨ	TAI VIET LETTER LOW LO (U+AAA8)	eaaaa8
ꪩ	TAI VIET LETTER HIGH LO (U+AAA9)	eaaaa9
ꪪ	TAI VIET LETTER LOW VO (U+AAAA)	eaaaaa
ꪫ	TAI VIET LETTER HIGH VO (U+AAAB)	eaaaab
ꪬ	TAI VIET LETTER LOW HO (U+AAAC)	eaaaac
ꪭ	TAI VIET LETTER HIGH HO (U+AAAD)	eaaaad
ꪮ	TAI VIET LETTER LOW O (U+AAAE)	eaaaae
ꪯ	TAI VIET LETTER HIGH O (U+AAAF)	eaaaaf
ꪰ	TAI VIET MAI KANG (U+AAB0)	eaaab0
ꪱ	TAI VIET VOWEL AA (U+AAB1)	eaaab1
ꪲ	TAI VIET VOWEL I (U+AAB2)	eaaab2
ꪳ	TAI VIET VOWEL UE (U+AAB3)	eaaab3
ꪴ	TAI VIET VOWEL U (U+AAB4)	eaaab4
ꪵ	TAI VIET VOWEL E (U+AAB5)	eaaab5
ꪶ	TAI VIET VOWEL O (U+AAB6)	eaaab6
ꪷ	TAI VIET MAI KHIT (U+AAB7)	eaaab7
ꪸ	TAI VIET VOWEL IA (U+AAB8)	eaaab8
ꪹ	TAI VIET VOWEL UEA (U+AAB9)	eaaab9
ꪺ	TAI VIET VOWEL UA (U+AABA)	eaaaba
ꪻ	TAI VIET VOWEL AUE (U+AABB)	eaaabb
ꪼ	TAI VIET VOWEL AY (U+AABC)	eaaabc
ꪽ	TAI VIET VOWEL AN (U+AABD)	eaaabd
ꪾ	TAI VIET VOWEL AM (U+AABE)	eaaabe
꪿	TAI VIET TONE MAI EK (U+AABF)	eaaabf
ꫀ	TAI VIET TONE MAI NUENG (U+AAC0)	eaab80
꫁	TAI VIET TONE MAI THO (U+AAC1)	eaab81
ꫂ	TAI VIET TONE MAI SONG (U+AAC2)	eaab82
ꫛ	TAI VIET SYMBOL KON (U+AADB)	eaab9b
ꫜ	TAI VIET SYMBOL NUENG (U+AADC)	eaab9c
ꫝ	TAI VIET SYMBOL SAM (U+AADD)	eaab9d
꫞	TAI VIET SYMBOL HO HOI (U+AADE)	eaab9e
꫟	TAI VIET SYMBOL KOI KOI (U+AADF)	eaab9f
ꫠ	MEETEI MAYEK LETTER E (U+AAE0)	eaaba0
ꫡ	MEETEI MAYEK LETTER O (U+AAE1)	eaaba1
ꫢ	MEETEI MAYEK LETTER CHA (U+AAE2)	eaaba2
ꫣ	MEETEI MAYEK LETTER NYA (U+AAE3)	eaaba3
ꫤ	MEETEI MAYEK LETTER TTA (U+AAE4)	eaaba4
ꫥ	MEETEI MAYEK LETTER TTHA (U+AAE5)	eaaba5
ꫦ	MEETEI MAYEK LETTER DDA (U+AAE6)	eaaba6
ꫧ	MEETEI MAYEK LETTER DDHA (U+AAE7)	eaaba7
ꫨ	MEETEI MAYEK LETTER NNA (U+AAE8)	eaaba8
ꫩ	MEETEI MAYEK LETTER SHA (U+AAE9)	eaaba9
ꫪ	MEETEI MAYEK LETTER SSA (U+AAEA)	eaabaa
ꫫ	MEETEI MAYEK VOWEL SIGN II (U+AAEB)	eaabab
ꫬ	MEETEI MAYEK VOWEL SIGN UU (U+AAEC)	eaabac
ꫭ	MEETEI MAYEK VOWEL SIGN AAI (U+AAED)	eaabad
ꫮ	MEETEI MAYEK VOWEL SIGN AU (U+AAEE)	eaabae
ꫯ	MEETEI MAYEK VOWEL SIGN AAU (U+AAEF)	eaabaf
꫰	MEETEI MAYEK CHEIKHAN (U+AAF0)	eaabb0
꫱	MEETEI MAYEK AHANG KHUDAM (U+AAF1)	eaabb1
ꫲ	MEETEI MAYEK ANJI (U+AAF2)	eaabb2
ꫳ	MEETEI MAYEK SYLLABLE REPETITION MARK (U+AAF3)	eaabb3
ꫴ	MEETEI MAYEK WORD REPETITION MARK (U+AAF4)	eaabb4
ꫵ	MEETEI MAYEK VOWEL SIGN VISARGA (U+AAF5)	eaabb5
꫶	MEETEI MAYEK VIRAMA (U+AAF6)	eaabb6
ꬁ	ETHIOPIC SYLLABLE TTHU (U+AB01)	eaac81
ꬂ	ETHIOPIC SYLLABLE TTHI (U+AB02)	eaac82
ꬃ	ETHIOPIC SYLLABLE TTHAA (U+AB03)	eaac83
ꬄ	ETHIOPIC SYLLABLE TTHEE (U+AB04)	eaac84
ꬅ	ETHIOPIC SYLLABLE TTHE (U+AB05)	eaac85
ꬆ	ETHIOPIC SYLLABLE TTHO (U+AB06)	eaac86
ꬉ	ETHIOPIC SYLLABLE DDHU (U+AB09)	eaac89
ꬊ	ETHIOPIC SYLLABLE DDHI (U+AB0A)	eaac8a
ꬋ	ETHIOPIC SYLLABLE DDHAA (U+AB0B)	eaac8b
ꬌ	ETHIOPIC SYLLABLE DDHEE (U+AB0C)	eaac8c
ꬍ	ETHIOPIC SYLLABLE DDHE (U+AB0D)	eaac8d
ꬎ	ETHIOPIC SYLLABLE DDHO (U+AB0E)	eaac8e
ꬑ	ETHIOPIC SYLLABLE DZU (U+AB11)	eaac91
ꬒ	ETHIOPIC SYLLABLE DZI (U+AB12)	eaac92
ꬓ	ETHIOPIC SYLLABLE DZAA (U+AB13)	eaac93
ꬔ	ETHIOPIC SYLLABLE DZEE (U+AB14)	eaac94
ꬕ	ETHIOPIC SYLLABLE DZE (U+AB15)	eaac95
ꬖ	ETHIOPIC SYLLABLE DZO (U+AB16)	eaac96
ꬠ	ETHIOPIC SYLLABLE CCHHA (U+AB20)	eaaca0
ꬡ	ETHIOPIC SYLLABLE CCHHU (U+AB21)	eaaca1
ꬢ	ETHIOPIC SYLLABLE CCHHI (U+AB22)	eaaca2
ꬣ	ETHIOPIC SYLLABLE CCHHAA (U+AB23)	eaaca3
ꬤ	ETHIOPIC SYLLABLE CCHHEE (U+AB24)	eaaca4
ꬥ	ETHIOPIC SYLLABLE CCHHE (U+AB25)	eaaca5
ꬦ	ETHIOPIC SYLLABLE CCHHO (U+AB26)	eaaca6
ꬨ	ETHIOPIC SYLLABLE BBA (U+AB28)	eaaca8
ꬩ	ETHIOPIC SYLLABLE BBU (U+AB29)	eaaca9
ꬪ	ETHIOPIC SYLLABLE BBI (U+AB2A)	eaacaa
ꬫ	ETHIOPIC SYLLABLE BBAA (U+AB2B)	eaacab
ꬬ	ETHIOPIC SYLLABLE BBEE (U+AB2C)	eaacac
ꬭ	ETHIOPIC SYLLABLE BBE (U+AB2D)	eaacad
ꬮ	ETHIOPIC SYLLABLE BBO (U+AB2E)	eaacae
ꬰ	LATIN SMALL LETTER BARRED ALPHA (U+AB30)	eaacb0
ꬱ	LATIN SMALL LETTER A REVERSED-SCHWA (U+AB31)	eaacb1
ꬲ	LATIN SMALL LETTER BLACKLETTER E (U+AB32)	eaacb2
ꬳ	LATIN SMALL LETTER BARRED E (U+AB33)	eaacb3
ꬴ	LATIN SMALL LETTER E WITH FLOURISH (U+AB34)	eaacb4
ꬵ	LATIN SMALL LETTER LENIS F (U+AB35)	eaacb5
ꬶ	LATIN SMALL LETTER SCRIPT G WITH CROSSED-TAIL (U+AB36)	eaacb6
ꬷ	LATIN SMALL LETTER L WITH INVERTED LAZY S (U+AB37)	eaacb7
ꬸ	LATIN SMALL LETTER L WITH DOUBLE MIDDLE TILDE (U+AB38)	eaacb8
ꬹ	LATIN SMALL LETTER L WITH MIDDLE RING (U+AB39)	eaacb9
ꬺ	LATIN SMALL LETTER M WITH CROSSED-TAIL (U+AB3A)	eaacba
ꬻ	LATIN SMALL LETTER N WITH CROSSED-TAIL (U+AB3B)	eaacbb
ꬼ	LATIN SMALL LETTER ENG WITH CROSSED-TAIL (U+AB3C)	eaacbc
ꬽ	LATIN SMALL LETTER BLACKLETTER O (U+AB3D)	eaacbd
ꬾ	LATIN SMALL LETTER BLACKLETTER O WITH STROKE (U+AB3E)	eaacbe
ꬿ	LATIN SMALL LETTER OPEN O WITH STROKE (U+AB3F)	eaacbf
ꭀ	LATIN SMALL LETTER INVERTED OE (U+AB40)	eaad80
ꭁ	LATIN SMALL LETTER TURNED OE WITH STROKE (U+AB41)	eaad81
ꭂ	LATIN SMALL LETTER TURNED OE WITH HORIZONTAL STROKE (U+AB42)	eaad82
ꭃ	LATIN SMALL LETTER TURNED O OPEN-O (U+AB43)	eaad83
ꭄ	LATIN SMALL LETTER TURNED O OPEN-O WITH STROKE (U+AB44)	eaad84
ꭅ	LATIN SMALL LETTER STIRRUP R (U+AB45)	eaad85
ꭆ	LATIN LETTER SMALL CAPITAL R WITH RIGHT LEG (U+AB46)	eaad86
ꭇ	LATIN SMALL LETTER R WITHOUT HANDLE (U+AB47)	eaad87
ꭈ	LATIN SMALL LETTER DOUBLE R (U+AB48)	eaad88
ꭉ	LATIN SMALL LETTER R WITH CROSSED-TAIL (U+AB49)	eaad89
ꭊ	LATIN SMALL LETTER DOUBLE R WITH CROSSED-TAIL (U+AB4A)	eaad8a
ꭋ	LATIN SMALL LETTER SCRIPT R (U+AB4B)	eaad8b
ꭌ	LATIN SMALL LETTER SCRIPT R WITH RING (U+AB4C)	eaad8c
ꭍ	LATIN SMALL LETTER BASELINE ESH (U+AB4D)	eaad8d
ꭎ	LATIN SMALL LETTER U WITH SHORT RIGHT LEG (U+AB4E)	eaad8e
ꭏ	LATIN SMALL LETTER U BAR WITH SHORT RIGHT LEG (U+AB4F)	eaad8f
ꭐ	LATIN SMALL LETTER UI (U+AB50)	eaad90
ꭑ	LATIN SMALL LETTER TURNED UI (U+AB51)	eaad91
ꭒ	LATIN SMALL LETTER U WITH LEFT HOOK (U+AB52)	eaad92
ꭓ	LATIN SMALL LETTER CHI (U+AB53)	eaad93
ꭔ	LATIN SMALL LETTER CHI WITH LOW RIGHT RING (U+AB54)	eaad94
ꭕ	LATIN SMALL LETTER CHI WITH LOW LEFT SERIF (U+AB55)	eaad95
ꭖ	LATIN SMALL LETTER X WITH LOW RIGHT RING (U+AB56)	eaad96
ꭗ	LATIN SMALL LETTER X WITH LONG LEFT LEG (U+AB57)	eaad97
ꭘ	LATIN SMALL LETTER X WITH LONG LEFT LEG AND LOW RIGHT RING (U+AB58)	eaad98
ꭙ	LATIN SMALL LETTER X WITH LONG LEFT LEG WITH SERIF (U+AB59)	eaad99
ꭚ	LATIN SMALL LETTER Y WITH SHORT RIGHT LEG (U+AB5A)	eaad9a
꭛	MODIFIER BREVE WITH INVERTED BREVE (U+AB5B)	eaad9b
ꭜ	MODIFIER LETTER SMALL HENG (U+AB5C)	eaad9c
ꭝ	MODIFIER LETTER SMALL L WITH INVERTED LAZY S (U+AB5D)	eaad9d
ꭞ	MODIFIER LETTER SMALL L WITH MIDDLE TILDE (U+AB5E)	eaad9e
ꭟ	MODIFIER LETTER SMALL U WITH LEFT HOOK (U+AB5F)	eaad9f
ꭠ	LATIN SMALL LETTER SAKHA YAT (U+AB60)	eaada0
ꭡ	LATIN SMALL LETTER IOTIFIED E (U+AB61)	eaada1
ꭢ	LATIN SMALL LETTER OPEN OE (U+AB62)	eaada2
ꭣ	LATIN SMALL LETTER UO (U+AB63)	eaada3
ꭤ	LATIN SMALL LETTER INVERTED ALPHA (U+AB64)	eaada4
ꭥ	GREEK LETTER SMALL CAPITAL OMEGA (U+AB65)	eaada5
ꭦ	LATIN SMALL LETTER DZ DIGRAPH WITH RETROFLEX HOOK (U+AB66)	eaada6
ꭧ	LATIN SMALL LETTER TS DIGRAPH WITH RETROFLEX HOOK (U+AB67)	eaada7
ꭨ	LATIN SMALL LETTER TURNED R WITH MIDDLE TILDE (U+AB68)	eaada8
ꭩ	MODIFIER LETTER SMALL TURNED W (U+AB69)	eaada9
꭪	MODIFIER LETTER LEFT TACK (U+AB6A)	eaadaa
꭫	MODIFIER LETTER RIGHT TACK (U+AB6B)	eaadab
ꭰ	CHEROKEE SMALL LETTER A (U+AB70)	eaadb0
ꭱ	CHEROKEE SMALL LETTER E (U+AB71)	eaadb1
ꭲ	CHEROKEE SMALL LETTER I (U+AB72)	eaadb2
ꭳ	CHEROKEE SMALL LETTER O (U+AB73)	eaadb3
ꭴ	CHEROKEE SMALL LETTER U (U+AB74)	eaadb4
ꭵ	CHEROKEE SMALL LETTER V (U+AB75)	eaadb5
ꭶ	CHEROKEE SMALL LETTER GA (U+AB76)	eaadb6
ꭷ	CHEROKEE SMALL LETTER KA (U+AB77)	eaadb7
ꭸ	CHEROKEE SMALL LETTER GE (U+AB78)	eaadb8
ꭹ	CHEROKEE SMALL LETTER GI (U+AB79)	eaadb9
ꭺ	CHEROKEE SMALL LETTER GO (U+AB7A)	eaadba
ꭻ	CHEROKEE SMALL LETTER GU (U+AB7B)	eaadbb
ꭼ	CHEROKEE SMALL LETTER GV (U+AB7C)	eaadbc
ꭽ	CHEROKEE SMALL LETTER HA (U+AB7D)	eaadbd
ꭾ	CHEROKEE SMALL LETTER HE (U+AB7E)	eaadbe
ꭿ	CHEROKEE SMALL LETTER HI (U+AB7F)	eaadbf
ꮀ	CHEROKEE SMALL LETTER HO (U+AB80)	eaae80
ꮁ	CHEROKEE SMALL LETTER HU (U+AB81)	eaae81
ꮂ	CHEROKEE SMALL LETTER HV (U+AB82)	eaae82
ꮃ	CHEROKEE SMALL LETTER LA (U+AB83)	eaae83
ꮄ	CHEROKEE SMALL LETTER LE (U+AB84)	eaae84
ꮅ	CHEROKEE SMALL LETTER LI (U+AB85)	eaae85
ꮆ	CHEROKEE SMALL LETTER LO (U+AB86)	eaae86
ꮇ	CHEROKEE SMALL LETTER LU (U+AB87)	eaae87
ꮈ	CHEROKEE SMALL LETTER LV (U+AB88)	eaae88
ꮉ	CHEROKEE SMALL LETTER MA (U+AB89)	eaae89
ꮊ	CHEROKEE SMALL LETTER ME (U+AB8A)	eaae8a
ꮋ	CHEROKEE SMALL LETTER MI (U+AB8B)	eaae8b
ꮌ	CHEROKEE SMALL LETTER MO (U+AB8C)	eaae8c
ꮍ	CHEROKEE SMALL LETTER MU (U+AB8D)	eaae8d
ꮎ	CHEROKEE SMALL LETTER NA (U+AB8E)	eaae8e
ꮏ	CHEROKEE SMALL LETTER HNA (U+AB8F)	eaae8f
ꮐ	CHEROKEE SMALL LETTER NAH (U+AB90)	eaae90
ꮑ	CHEROKEE SMALL LETTER NE (U+AB91)	eaae91
ꮒ	CHEROKEE SMALL LETTER NI (U+AB92)	eaae92
ꮓ	CHEROKEE SMALL LETTER NO (U+AB93)	eaae93
ꮔ	CHEROKEE SMALL LETTER NU (U+AB94)	eaae94
ꮕ	CHEROKEE SMALL LETTER NV (U+AB95)	eaae95
ꮖ	CHEROKEE SMALL LETTER QUA (U+AB96)	eaae96
ꮗ	CHEROKEE SMALL LETTER QUE (U+AB97)	eaae97
ꮘ	CHEROKEE SMALL LETTER QUI (U+AB98)	eaae98
ꮙ	CHEROKEE SMALL LETTER QUO (U+AB99)	eaae99
ꮚ	CHEROKEE SMALL LETTER QUU (U+AB9A)	eaae9a
ꮛ	CHEROKEE SMALL LETTER QUV (U+AB9B)	eaae9b
ꮜ	CHEROKEE SMALL LETTER SA (U+AB9C)	eaae9c
ꮝ	CHEROKEE SMALL LETTER S (U+AB9D)	eaae9d
ꮞ	CHEROKEE SMALL LETTER SE (U+AB9E)	eaae9e
ꮟ	CHEROKEE SMALL LETTER SI (U+AB9F)	eaae9f
